id,election_id,upper_tier,lower_tier,current_council,year,ward_id,ward_name,candidate,party,vote,female,vacancies,rank,electorate,ballots_cast,turnout,vote_share,source,notes,,,,,,
wir_b_109,1973wir_b_1014,Merseyside,Wirral,Wirral,1973,wir_b_1014,Hoylake: Central Hoose Meols Park,Nightingale,CON,3373,0,3,4,11993,15968,44.38144,63.37049,,,,,,,,
wir_b_110,1973wir_b_1014,Merseyside,Wirral,Wirral,1973,wir_b_1014,Hoylake: Central Hoose Meols Park,Davies,LAB,933,0,3,5,11993,15968,44.38144,17.52881,,,,,,,,
wir_b_111,1973wir_b_1014,Merseyside,Wirral,Wirral,1973,wir_b_1014,Hoylake: Central Hoose Meols Park,Cook,LAB,906,0,3,6,11993,15968,44.38144,17.02154,,,,,,,,
wir_b_112,1973wir_b_1015,Merseyside,Wirral,Wirral,1973,wir_b_1015,Wallasey: Leasowe,Clark G.,LAB,2129,0,3,1,11478,8891,25.82041,71.83669,,,,,,,,
wir_b_113,1973wir_b_1015,Merseyside,Wirral,Wirral,1973,wir_b_1015,Wallasey: Leasowe,Wells B.,LAB,2106,0,3,2,11478,8891,25.82041,71.06062,,,,,,,,
wir_b_114,1973wir_b_1015,Merseyside,Wirral,Wirral,1973,wir_b_1015,Wallasey: Leasowe,Fox W.,LAB,2062,0,3,3,11478,8891,25.82041,69.57597,,,,,,,,
wir_b_115,1973wir_b_1015,Merseyside,Wirral,Wirral,1973,wir_b_1015,Wallasey: Leasowe,Ward,CON,896,0,3,4,11478,8891,25.82041,30.23282,,,,,,,,
wir_b_116,1973wir_b_1015,Merseyside,Wirral,Wirral,1973,wir_b_1015,Wallasey: Leasowe,Ward,CON,870,0,3,5,11478,8891,25.82041,29.35553,,,,,,,,
wir_b_117,1973wir_b_1015,Merseyside,Wirral,Wirral,1973,wir_b_1015,Wallasey: Leasowe,Arrowsmith,CON,828,0,3,6,11478,8891,25.82041,27.93836,,,,,,,,
wir_b_118,1973wir_b_1016,Merseyside,Wirral,Wirral,1973,wir_b_1016,Wallasey: Marlowe Egremont South Liscard,Morgan S.,CON,2147,0,3,1,13161,14519,36.77279,44.36256,,,,,,,,
wir_b_119,1973wir_b_1016,Merseyside,Wirral,Wirral,1973,wir_b_1016,Wallasey: Marlowe Egremont South Liscard,Ebbs M.,CON,2142,0,3,2,13161,14519,36.77279,44.25925,,,,,,,,
wir_b_120,1973wir_b_1016,Merseyside,Wirral,Wirral,1973,wir_b_1016,Wallasey: Marlowe Egremont South Liscard,Lynn,CON,2041,0,3,3,13161,14519,36.77279,42.17233,,,,,,,,
