id,election_id,upper_tier,lower_tier,current_council,year,ward_id,ward_name,candidate,party,vote,female,vacancies,rank,electorate,ballots_cast,turnout,vote_share,source,note,,,,,,
whis_160,1961whis3018,,Whiston,,1961,whis3018,Tarbock,T. H. Critchley,Ind,Unop,0,1,,,0,,,,,,,,,,
whis_161,1962whis3001,,Whiston,,1962,whis3001,Bold North,W. H. Lewis,Lab,Unop,0,1,,,0,,,Liverpool Daily Post 1962-05-08 p.7.,LDP says Whiston RDC is non-political,,,,,,
whis_162,1962whis3002,,Whiston,,1962,whis3002,Bold South,J. Quinn,Lab,Unop,0,1,,,0,,,Liverpool Daily Post 1962-05-08 p.7.,,,,,,,
whis_163,1962whis3008,,Whiston,,1962,whis3008,Halewood North,W. Pickavance,Ind,Unop,0,1,,,0,,,Liverpool Daily Post 1962-05-08 p.7.,,,,,,,
whis_164,1962whis3009,,Whiston,,1962,whis3009,Halewood South,J. L. Q. Corlett,,Unop,0,1,,,0,,,Liverpool Daily Post 1962-05-08 p.7.,,,,,,,
whis_165,1962whis3012,,Whiston,,1962,whis3012,Knowsley Central,T. Rose,Con,371,0,1,1,,535,,69.34579,Liverpool Daily Post 1962-05-08 p.7.,,,,,,,
whis_166,1962whis3012,,Whiston,,1962,whis3012,Knowsley Central,F. Hughes,Lab,164,0,1,2,,535,,30.65421,Liverpool Daily Post 1962-05-08 p.7.,,,,,,,
whis_167,1962whis3013,,Whiston,,1962,whis3013,Knowsley North,B. Glennon,Lab,Unop,0,1,,,0,,,Liverpool Daily Post 1962-05-08 p.7.,,,,,,,
whis_168,1962whis3014,,Whiston,,1962,whis3014,Knowsley South,A. Smith,Lab,Unop,0,1,,,0,,,Liverpool Daily Post 1962-05-08 p.7.,,,,,,,
whis_169,1963whis3015,,Whiston,,1963,whis3015,Rainhill North,E. W. Hughes,Lab,512,0,1,1,,885,,57.85311,Liverpool Daily Post 1963-05-07 p.7,"Con 11, Lab 9",,,,,,
whis_170,1963whis3015,,Whiston,,1963,whis3015,Rainhill North,J. Wainwright,Con,373,0,1,2,,885,,42.14689,Liverpool Daily Post 1963-05-07 p.7,"Con 11, Lab 9",,,,,,
